,brand,categories,colors,name,sizes,prices
7000,New Balance,Sports Shoes,Blue/Light Blue,"New Balance Women's 880V8, Blue/Light Blue, 7 2E US",6,81.99
7001,New Balance,Sports Shoes,Ff,New Balance Women's Ws247 Ff Ankle-High Fashion Sneaker - 6.5M,9,49.99
7002,SAS,Sandals,OLIVE,"Women's SAS, Delight High Heel Wedge Sandals",6,154.95
7003,New Balance,Sports Shoes,Dl,New Balance Women's Wl555 Zz Ankle-High Fabric Cross Trainer Shoe - 10.5W,8,64.95
7004,SAS,Sandals,OLIVE,"Women's SAS, Delight High Heel Wedge Sandals",9,154.95
7005,SAS,Sandals,OLIVE,"Women's SAS, Delight High Heel Wedge Sandals",6,154.95
7006,New Balance,Sports Shoes,Bs,New Balance Women's Ws215 Rc Ankle-High Fashion Sneaker - 9.5M,10,35.99
7007,SAS,Sandals,OLIVE,"Women's SAS, Delight High Heel Wedge Sandals",7,154.95
7008,SAS,Sandals,OLIVE,"Women's SAS, Delight High Heel Wedge Sandals",11,154.95
7009,SAS,Sandals,BLACK,"Women's SAS, Delight High Heel Wedge Sandals",8,154.95
7010,New Balance,Sports Shoes,Cr5,New Balance Women's W630 Cg5 Ankle-High Fabric Running Shoe - 7.5M,6,40.23
7011,SAS,Sandals,BLACK,"Women's SAS, Delight High Heel Wedge Sandals",7,237.59
7012,L'Artiste by Spring Step,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Medium Brown Leather,Women's L'Artiste by Spring Step Solarsys D'Orsay Shoe,39,119.95
7013,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Gold Glitter Polyurethane,Women's Pleaser Appeal 20G Pointed-Toe Pump,9,97.68
7014,JBU,Boots,Black,Jbu By Jambu Women's Evans Weather Ready Motorcycle Boot,7,64.0
7015,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Sequins/Black,Women's Pleaser Blondie R-3011,6,119.95
7016,jbu-by-jambu,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Brushed Vegan/Textured Wool,women's jambu jbu crimson slip on,6,60.29
7017,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Silver Sequins/Silver Chrome,Women's Pleaser Blondie R-3011,5,128.95
7018,Jambu,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Taupe Brushed Vegan Suede,Women's Jambu JBU Cynthia Mary Jane,8,62.95
7019,Jambu,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Red Brushed Vegan Suede,Women's Jambu JBU Cynthia Mary Jane,7,62.95
7020,jbu-by-jambu,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Brushed Vegan/Textured Wool,women's jambu jbu crimson slip on,9,60.29
7021,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Gold Sequins/Gold Chrome,Women's Pleaser Blondie R-3011,9,128.95
7022,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Silver Sequins/Silver Chrome,Women's Pleaser Blondie R-3011,9,128.95
7023,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Sequins/Black,Women's Pleaser Blondie R-3011,9,119.95
7024,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Silver Sequins/Silver Chrome,Women's Pleaser Blondie R-3011,11,128.95
7025,Soda,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Beige,Soda Women Crest flats-shoes,6,35.0
7026,Soda,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Dark Salmon,Soda Women Crest flats-shoes,9,35.0
7027,MICHAEL Michael Kors,Boots,Plum,MICHAEL Michael Kors Womens Sabrina Leather Closed Toe Over Knee Fashion Boots,9,99.99
7028,Soda,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Dark Salmon,Soda Women Crest flats-shoes,7,35.0
7029,Soda,Flats,Black,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",6,24.0
7030,Soda,Flats,Black,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",8,24.0
7031,Soda,Flats,Black,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",7,24.0
7032,Soda,Flats,Tan Brown,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",8,24.0
7033,Soda,Flats,Tan Brown,"Pure by Soda, Ankle Strap Flat Sandal w Gladiator Cross Strap Fisherman Gladiator",7,24.0
7034,Pleaser,Boots,Black Faux Leather-Silver/Black Matte,Women's Pleaser Adore 1024RSF Open Toe Bootie,5,91.95
